id	nm	lat	lon	countryCode
1789176	Feicheng	36.248611	116.765831	CN
1789273	Sanshui	23.154860	112.891609	CN
1789289	Ximei	24.963890	118.379440	CN
1789427	Xihua	33.783329	114.516670	CN
1789462	Xihe	31.686359	113.465851	CN
1789693	Xiazhuang	34.916111	118.638893	CN
1789703	Xiazhen	34.802219	117.111671	CN
1789799	Xiashi	30.536289	120.686378	CN
1789897	Gongyi	34.759998	112.971390	CN
1789945	Xiaoweizhai	26.190281	107.512497	CN
1789998	Xiaoshan	30.167459	120.258827	CN
1790353	Xianyang	34.337780	108.702606	CN
1790379	Xianshuigu	38.985001	117.382782	CN
1790392	Xiannu	32.436668	119.550827	CN
1790413	Xianju	28.850000	120.733330	CN
1790451	Wenxing	28.666670	112.883331	CN
1790471	Xiangxiang	27.733330	112.533333	CN
1790492	Xiangtan	27.850000	112.900002	CN
1790587	Xiangyang	32.042198	112.144791	CN
1790601	Xiangcheng	33.847031	113.477798	CN
1790645	Xiamen	24.479790	118.081871	CN
1790885	Wuyang	31.992500	116.247223	CN
1790894	Wuxue	29.850580	115.552498	CN
1791056	Dongyang	29.267780	120.225281	CN
1791121	Changde	29.046379	111.678299	CN
1791236	Wuhu	31.336571	118.375481	CN
1791325	Wuda	39.499439	106.711670	CN
1791347	Wucheng	29.600771	118.174950	CN
1791388	Wenzhou	27.999420	120.666817	CN
1791428	Wenshang	35.727501	116.496109	CN
1791464	Wenling	28.366940	121.360001	CN
1791536	Wendeng	37.193611	122.051109	CN
1791748	Wanxian	30.803890	108.389717	CN
1791779	Wanning	18.800280	110.396667	CN
1792087	Jiaonan	35.878609	119.975281	CN
1792260	Wafangdian	39.618328	122.008057	CN
1792359	Huangshan	29.711390	118.312500	CN
1792516	Loushanguan	28.137501	106.820000	CN
1792585	Fuding	27.327339	120.213997	CN
1792621	Wusong	30.950001	117.783333	CN
1792692	Tongchuan	31.094070	105.087311	CN
1792916	Tianpeng	30.986641	103.939331	CN
1793036	Tengzhou	35.077061	117.151756	CN
1793089	Taozhuang	34.849998	117.333328	CN
1793230	Tantou	26.031389	119.598610	CN
1793286	Tangzhai	34.432781	116.591110	CN
1793346	Tangshan	39.633331	118.183327	CN
1793364	Tangping	22.026470	111.932289	CN
1793385	Tangjiazhuang	39.733330	118.449997	CN
1793419	Tanghe	32.688332	112.827499	CN
1793424	Tanggu	39.021111	117.646942	CN
1793533	Taixing	32.166672	120.013611	CN
1793700	Taishan	22.251350	112.779900	CN
1793743	Suzhou	33.636108	116.978889	CN
1793774	Suozhen	36.953892	118.104721	CN
1793889	Suixi	33.890671	116.774719	CN
1793899	Suicheng	33.896301	117.933067	CN
1793900	Suining	30.508020	105.573318	CN
1794035	Songjiang	31.035950	121.214600	CN
1794140	Sishui	35.648891	117.275833	CN
1794479	Laixi	36.859169	120.526939	CN
1794794	Shouguang	36.880001	118.737503	CN
1794806	Shizuishan	39.233330	106.769440	CN
1794825	Shizilu	35.171108	118.828888	CN
1794903	Shiyan	32.647499	110.778061	CN
1794947	Shiwan	22.996929	113.079880	CN
1794971	Shitanjing	39.234169	106.343887	CN
1795055	Shiqiao	22.937361	113.360626	CN
1795060	Shiqi	22.516821	113.385208	CN
1795166	Shima	24.447781	117.811111	CN
1795184	Shilong	23.112270	113.842484	CN
1795270	Shijiazhuang	38.041389	114.478607	CN
1795565	Shenzhen	22.545540	114.068298	CN
1795579	Shenxian	36.241112	115.667221	CN
1795632	Shenjiamen	29.957621	122.298019	CN
1795842	Shaping	22.754520	112.956520	CN
1795855	Shaoxing	30.011021	120.571533	CN
1795857	Shaowu	27.340891	117.483101	CN
1795919	Shancheng	34.795280	116.081673	CN
1795928	Shanwei	22.781990	115.347504	CN
1795940	Shantou	23.368139	116.714790	CN
1795941	Shanting	35.075279	117.457779	CN
1796421	Shahecheng	36.938332	114.505829	CN
1796556	Sanya	18.243059	109.504997	CN
1797038	Runan	33.001110	114.354172	CN
1797120	Fuqing	25.725000	119.379440	CN
1797132	Rizhao	35.427502	119.455276	CN
1797181	Renqiu	38.698891	116.093613	CN
1797417	Wuxi	26.573071	111.841843	CN
1797535	Qiongshan	20.005831	110.354172	CN
1797543	Yuanjiang	28.842979	112.352173	CN
1797575	Qinnan	33.253059	119.913330	CN
1797658	Jinjiang	24.819780	118.574142	CN
1797793	Qingquan	30.451130	115.255928	CN
1798082	Hongqiao	26.768370	112.108139	CN
1798425	Puyang	29.460279	119.886108	CN
1798480	Pumiao	22.750000	108.483330	CN
1798548	Poyang	28.992420	116.667542	CN
1798632	Pingyin	36.283058	116.445282	CN
1798634	Pingyi	35.500561	117.630829	CN
1798733	Pingnan	23.554300	110.397568	CN
1798821	Pingdu	36.784439	119.946388	CN
1798946	Pengcheng	36.431110	114.169998	CN
1799348	Ningyang	35.764172	116.791389	CN
1799352	Yutan	28.250000	112.550003	CN
1799383	Ninghai	37.383331	121.583328	CN
1799384	Ninghai	29.289169	121.424721	CN
1799552	Nanzhou	29.359550	112.402428	CN
1799574	Nanzhang Chengguanzhen	31.783939	111.827522	CN
1799832	Pucheng	27.923330	118.533333	CN
1799846	Nanping	26.645000	118.173607	CN
